fact_id;fact_code;kind;default_cf;description
F001;proj_2d;input;1;Проект планируется в 2D
F002;proj_2_5d;input;1;Проект планируется в 2.5D
F003;proj_3d;input;1;Проект планируется в 3D
F004;genre_action_rpg;input;1;Жанр проекта: action-RPG
F005;genre_platformer;input;1;Жанр проекта: платформер
F006;genre_roguelike;input;1;Жанр проекта: рогалик / roguelite
F007;genre_card_game;input;1;Жанр проекта: коллекционная карточная игра
F008;genre_moba;input;1;Жанр проекта: MOBA
F009;genre_shooter;input;1;Жанр проекта: шутер
F010;platform_pc;input;1;Целевая платформа: ПК
F011;platform_mobile;input;1;Целевая платформа: мобильные устройства
F012;platform_console;input;1;Целевая платформа: консоль
F013;audience_casual;input;1;Целевая аудитория: казуальные игроки
F014;audience_midcore;input;1;Целевая аудитория: midcore
F015;audience_hardcore;input;1;Целевая аудитория: хардкорные игроки
F016;focus_combat;input;1;Основной фокус: боевая система
F017;focus_story;input;1;Основной фокус: сюжет и нарратив
F018;focus_puzzles;input;1;Основной фокус: головоломки и задачи
F019;focus_management;input;1;Основной фокус: менеджмент, экономика, метаигра
F020;sessions_short;input;1;Сессии предполагаются короткие (до 20 минут)
F021;sessions_long;input;1;Сессии предполагаются длинные
F022;monet_premium;input;1;Монетизация: единоразовая покупка (premium)
F023;monet_f2p;input;1;Монетизация: free-to-play
F024;monet_battle_pass;input;1;Монетизация: battle pass
F025;monet_gacha;input;1;Монетизация: gacha / лутбоксы
F026;camera_topdown;input;1;Камера: вид сверху
F027;camera_isometric;input;1;Камера: изометрия
F028;camera_side;input;1;Камера: сбоку
F029;camera_third_person;input;1;Камера: от третьего лица
F030;camera_first_person;input;1;Камера: от первого лица
F031;profile_combat_2d_roguelite;intermediate;1;Профиль боёвки: динамичный 2D action-roguelite
F032;profile_combat_3d_soulslike;intermediate;1;Профиль боёвки: методичный 3D souls-like
F033;profile_combat_topdown_twin_stick;intermediate;1;Профиль боёвки: top-down twin-stick shooter
F034;profile_combat_moba_abilities;intermediate;1;Профиль боёвки: MOBA с активными способностями
F035;profile_combat_mobile_casual;intermediate;1;Профиль боёвки: мобильный казуальный экшен
F036;profile_combat_fps_arena;intermediate;1;Профиль боёвки: аренный FPS
F037;profile_progression_run_based;intermediate;1;Профиль прогрессии: забеги (run-based) с перезапусками
F038;profile_progression_linear_story;intermediate;1;Профиль прогрессии: линейная сюжетная кампания
F039;profile_progression_open_world;intermediate;1;Профиль прогрессии: открытый мир с нелинейным исследованием
F040;profile_progression_meta_upgrade;intermediate;1;Профиль прогрессии: мета-прогрессия между забегами
F041;profile_progression_loot_based;intermediate;1;Профиль прогрессии: лут-ориентированная RPG
F042;profile_progression_deckbuilder;intermediate;1;Профиль прогрессии: развитие через колоду карт
F043;profile_monet_premium_no_donat;intermediate;1;Профиль монетизации: премиум без доната
F044;profile_monet_f2p_soft_currency;intermediate;1;Профиль монетизации: F2P с мягкой валютой и лайтовым донатом
F045;profile_monet_f2p_battle_pass;intermediate;1;Профиль монетизации: F2P с battle pass
F046;profile_monet_f2p_gacha;intermediate;1;Профиль монетизации: F2P с gacha-механикой
F047;profile_monet_cosmetics_only;intermediate;1;Профиль монетизации: платные только косметические предметы
F048;profile_control_pc_kbm;intermediate;1;Профиль управления: ПК, клавиатура + мышь для экшенов/шутеров
F049;profile_control_gamepad;intermediate;1;Профиль управления: геймпад для action-RPG и платформеров
F050;profile_control_mobile_one_hand;intermediate;1;Профиль управления: мобильная игра, управление одной рукой
F051;profile_control_mobile_two_hands;intermediate;1;Профиль управления: мобильная игра, управление двумя руками
F052;profile_control_pc_moba_like;intermediate;1;Профиль управления: ПК, управление в стиле MOBA
F053;pattern_2d_action_roguelite;intermediate;1;Паттерн игры: 2D action-roguelite
F054;pattern_3d_soulslike;intermediate;1;Паттерн игры: 3D souls-like action-RPG
F055;pattern_2d_platformer_story;intermediate;1;Паттерн игры: сюжетный 2D платформер
F056;pattern_mobile_match3_f2p;intermediate;1;Паттерн игры: мобильный match-3 F2P
