rule_id;cf;condition;conclusion;explanation
R001;0.9;F001 & F004 & F020 & F014;F031;2D, action-RPG, короткие сессии и midcore-аудитория → боёвка в духе динамичного 2D action-roguelite
R002;0.85;F001 & F006 & F020;F031;2D и рогалик с короткими сессиями → боёвка в стиле 2D action-roguelite
R003;0.9;F003 & F004 & F015 & F029;F032;3D action-RPG для хардкорной аудитории с камерой от третьего лица → souls-like профиль боёвки
R004;0.8;F026 & F009 & F010;F033;Вид сверху, шутер и платформа ПК → профиль twin-stick top-down shooter
R005;0.9;F008 & F010;F034;Жанр MOBA и платформа ПК → профиль MOBA с активными способностями
R006;0.8;F011 & F013 & F016;F035;Мобильная платформа, казуальная аудитория и фокус на боёвке → мобильный казуальный экшен
R007;0.85;F030 & F009 & F015;F036;Камера от первого лица, шутер и хардкорная аудитория → профиль аренного FPS
R008;0.9;F006 & F020;F037;Рогалик с короткими сессиями → run-based прогрессия с забегами
R009;0.85;F017 & F021;F038;Фокус на сюжете и длинные сессии → линейная сюжетная кампания
R010;0.8;F017 & F029 & F004;F039;Сюжет, камера от третьего лица и action-RPG → прогрессия открытого мира
;;;;
R011;0.85;F016 & F020 & F014;F040;Фокус на боёвке, короткие сессии и midcore → выраженная мета-прогрессия между забегами
R012;0.8;F004 & F019;F041;Action-RPG с упором на менеджмент/ресурсы → лут-ориентированная прогрессия
R013;0.9;F007 & F020;F042;Карточная игра с короткими сессиями → прогрессия через развитие колоды
R014;0.9;F022 & F010;F043;Премиум-модель на ПК → премиум без доната
R015;0.85;F023 & F011 & F013;F044;F2P, мобильная платформа и казуальная аудитория → мягкая F2P монетизация с мягкой валютой
R016;0.9;F024 & F010 & F009;F045;Battle pass, ПК и шутер → профиль F2P с battle pass
R017;0.9;F024 & F012 & F009;F045;Battle pass, консоль и шутер → профиль F2P с battle pass
R018;0.9;F025 & F011 & F004;F046;Gacha, мобильная платформа и action-RPG → профиль F2P с gacha
R019;0.85;F025 & F011 & F007;F046;Gacha, мобильная платформа и карточная игра → профиль F2P с gacha
R020;0.8;F023 & F019 & F014;F047;F2P, упор на менеджмент и midcore → монетизация в основном через косметику
R021;0.85;F010 & F009;F048;ПК и шутер → управление клавиатура+мышь для экшенов
R022;0.8;F010 & F008;F048;ПК и MOBA → управление клавиатура+мышь
R023;0.85;F012 & F004;F049;Консоль и action-RPG → управление с геймпада
R024;0.9;F011 & F013 & F020;F050;Мобильная платформа, казуалы и короткие сессии → управление одной рукой
R025;0.85;F011 & F014 & F021;F051;Мобильная платформа, midcore и длинные сессии → управление двумя руками
R026;0.9;F010 & F008 & F014;F052;ПК, MOBA и midcore-аудитория → управление в стиле классических MOBA
;;;;
R027;0.9;F031 & F037 & F010;F053;2D action-roguelite профиль боёвки, run-based прогрессия и платформа ПК → паттерн 2D action-roguelite
R028;0.85;F031 & F037 & F012;F053;2D action-roguelite профиль боёвки, run-based прогрессия и консоль → паттерн 2D action-roguelite
R029;0.8;F031 & F040 & F014;F053;2D action-roguelite боёвка и выраженная мета-прогрессия для midcore → паттерн 2D action-roguelite
R030;0.9;F032 & F039 & F003;F054;Souls-like профиль боёвки, открытый мир и 3D → паттерн 3D souls-like action-RPG
R031;0.85;F032 & F039 & F015;F054;Souls-like боёвка, прогрессия открытого мира и хардкорная аудитория → паттерн 3D souls-like action-RPG
R032;0.8;F031 & F038 & F028;F055;2D боёвка, линейный сюжет и камера сбоку → паттерн сюжетного 2D платформера
R033;0.8;F005 & F017 & F028;F055;Жанр платформер, фокус на сюжете и боковая камера → паттерн сюжетного 2D платформера
R034;0.9;F035 & F044 & F011;F056;Казуальный мобильный экшен и мягкая F2P монетизация → паттерн мобильного match-3/F2P
R035;0.8;F035 & F044 & F013;F056;Казуальная аудитория, мобильная платформа и мягкая F2P → паттерн мобильного match-3/F2P
R036;0.9;F046 & F037 & F011;F057;Gacha-монетизация, run-based элементы и мобильная платформа → паттерн мобильной gacha RPG
R037;0.85;F046 & F039 & F011;F057;Gacha-монетизация, открытый мир и мобильная платформа → паттерн мобильной gacha RPG
R038;0.9;F034 & F040 & F052;F058;MOBA-профиль боёвки, мета-прогрессия и MOBA-управление → паттерн PC MOBA
R039;0.85;F034 & F040 & F010;F058;MOBA-профиль боёвки и мета-прогрессия на ПК → паттерн PC MOBA
R040;0.9;F036 & F041 & F010;F059;FPS-профиль боёвки, лут-ориентированная прогрессия и ПК → паттерн PC looter-shooter
R041;0.85;F036 & F041 & F012;F059;FPS-профиль боёвки, лут-ориентированная прогрессия и консоль → паттерн looter-shooter
R042;0.9;F042 & F037 & F010;F060;Deckbuilder-прогрессия, run-based структура и ПК → паттерн roguelike deckbuilder
R043;0.85;F042 & F037 & F011;F060;Deckbuilder-прогрессия, run-based структура и мобильная платформа → паттерн roguelike deckbuilder
R044;0.85;F027 & F004 & F041;F061;Изометрия, action-RPG и лут-ориентированная прогрессия → паттерн изометрической ARPG с лутом
R045;0.8;F027 & F032 & F041;F061;Изометрическая камера, souls-like элементы и лут-ориентированная прогрессия → паттерн изометрической ARPG с лутом
R046;0.9;F039 & F003 & F010;F062;Открытый мир, 3D и платформа ПК → паттерн action-RPG в открытом мире
;;;;
R047;0.9;F053 & F016;F063;Паттерн 2D action-roguelite и фокус на боёвке → кандидаты Dead Cells и Hades для боевой системы
R048;0.85;F053 & F014;F063;2D roguelite для midcore-аудитории → кандидаты Dead Cells и Hades по боёвке
R049;0.9;F054 & F016;F064;Паттерн 3D souls-like и фокус на боёвке → кандидаты Dark Souls и Elden Ring
R050;0.85;F054 & F015;F064;3D souls-like для хардкорной аудитории → кандидаты Dark Souls и Elden Ring
R051;0.8;F059 & F016;F065;Паттерн looter-shooter и фокус на боёвке → кандидаты Enter the Gungeon и Nuclear Throne для стрельбы и динамики
R052;0.8;F059 & F020;F065;Looter-shooter с короткими сессиями → кандидаты Enter the Gungeon и Nuclear Throne
R053;0.9;F053 & F037;F066;2D action-roguelite и run-based прогрессия → кандидаты Hades и Dead Cells по прогрессии и метаигре
R054;0.85;F053 & F040;F066;2D roguelite с выраженной мета-прогрессией → кандидаты Hades и Dead Cells
R055;0.9;F060 & F016;F067;Паттерн roguelike deckbuilder и фокус на боёвке → кандидаты Slay the Spire и Monster Train по прогрессии
R056;0.85;F060 & F018;F067;Roguelike deckbuilder с упором на головоломки → кандидаты Slay the Spire и Monster Train
R057;0.9;F057 & F023;F068;Паттерн мобильной gacha RPG и F2P-модель → кандидат Genshin Impact по монетизации
R058;0.85;F057 & F011;F068;Мобильная gacha RPG → кандидат Genshin Impact по монетизации
