rule_id;cf;condition;conclusion;explanation
R001;0.8;F009 & F015;F053;Интерес к вебу и продуктовому мышлению → предпочтение высокоуровневых технологий
R002;0.9;F004 & F005;F055;Нравится дизайн и UX/UI → любовь к визуальным задачам
R003;0.7;F007 & F004;F055;Нравятся игры и дизайн → любовь к визуальным задачам
R004;0.85;F010 & F002;F056;Любит анализ данных и статистику → предпочтение задач с данными
R005;0.8;F013 & F014;F057;Интерес к инфраструктуре и автоматизации → предпочтение инфраструктурных задач
R006;0.9;F006 & F003;F054;Интерес к системному программированию и алгоритмам → склонность к низкоуровневому программированию
R007;0.7;F009 & F019;F053;Интерес к вебу и опыт с JS → предпочтение высокоуровневых технологий
R008;0.6;F007 & F020;F054;Интерес к играм и C/C++ → склонность к низкоуровневой разработке
R009;0.75;F008 & F017;F053;Интерес к мобильной разработке и Java → предпочтение высокоуровневых технологий
R010;0.8;F010 & F016;F053;Интерес к данным и Python → предпочтение высокоуровневых технологий для работы с данными
;;;;
R011;0.85;F003 & F009 & F016;F042;Нравятся алгоритмы, веб и Python → хорошая основа для backend
R012;0.9;F003 & F017 & F021;F042;Алгоритмы, Java и SQL → сильная склонность к backend
R013;0.85;F003 & F018 & F021;F042;Алгоритмы, C# и SQL → склонность к backend на .NET
R014;0.8;F009 & F016 & F021;F042;Веб, Python и SQL → склонность к backend на Python
R015;0.75;F013 & F009 & F023;F042;Инфраструктура, веб и Linux → склонность к backend и серверной части
R016;0.7;F034 & F003;F042;Любит алгоритмы и работать в одиночку → склонность к backend
R017;0.65;F006 & F020;F042;Системное программирование и C/C++ → возможен backend ближе к низкому уровню
R018;0.7;F014 & F016;F042;Любит автоматизацию и Python → склонность к написанию серверной логики и скриптов
;;;;
R019;0.9;F004 & F005 & F022;F043;Нравится дизайн, UX/UI и есть HTML/CSS → сильная склонность к frontend
R020;0.85;F009 & F019 & F022;F043;Интерес к вебу, JS и HTML/CSS → склонность к frontend
R021;0.75;F004 & F019;F043;Нравится дизайн и JS → склонность к frontend-разработке
R022;0.7;F055 & F009;F043;Любит визуальные задачи и веб → склонность к frontend
